"espn_id","shark_id","name"
14881,10703,"Russell Wilson"
18225,13138,"Kareem Hunt"
12483,9431,"Matthew Stafford"
17907,12620,"Dak Prescott"
14879,10702,"Brock Osweiler"
16757,11644,"Derek Carr"
18268,13125,"C.J. Beathard"
18236,13146,"James Conner"
17797,12625,"Ezekiel Elliott"
18187,13132,"Alvin Kamara"
17586,12151,"Melvin Gordon"
18566,13592,"Sam Darnold"
17178,11938,"Adam Thielen"
18279,13130,"Christian McCaffrey"
15168,10948,"Case Keenum"
17929,12801,"Tyreek Hill"
10452,8658,"Adrian Peterson"
17610,12141,"Marcus Mariota"
16913,11747,"James White"
13982,10271,"Julio Jones"
18592,13610,"Nick Chubb"
14886,10708,"Lamar Miller"
16800,11675,"Davante Adams"
15847,11244,"Travis Kelce"
15795,11232,"DeAndre Hopkins"
18341,13364,"Chris Carson"
13934,9988,"Antonio Brown"
17133,11668,"Isaiah Crowell"
16737,11671,"Mike Evans"
18171,13290,"Tarik Cohen"
17834,12652,"Michael Thomas"
15920,11390,"Latavius Murray"
15880,11228,"Robert Woods"
18415,13164,"Cooper Kupp"
17856,12630,"Kenyan Drake"
18252,13127,"Nathan Peterman"
18424,13378,"Matt Breida"
18314,13319,"Aaron Jones"
18306,13156,"JuJu Smith-Schuster"
17676,12186,"Stefon Diggs"
15818,11222,"Keenan Allen"
16731,11674,"Brandin Cooks"
18602,13612,"Kerryon Johnson"
14993,10868,"Greg Zuerlein"
17919,12634,"Jordan Howard"
17689,12152,"Tevin Coleman"
16790,11680,"Jarvis Landry"
14885,10709,"Doug Martin"
18823,13614,"Phillip Lindsay"
15683,10976,"Justin Tucker"
12514,9448,"LeSean McCoy"
9704,8359,"Stephen Gostkowski"
18104,12956,"Wil Lutz"
13295,9918,"Emmanuel Sanders"
16725,11670,"Sammy Watkins"
17682,12205,"Devin Funchess"
17933,12628,"Alex Collins"
13229,9902,"Rob Gronkowski"
18345,13277,"Kenny Golladay"
14322,10506,"Dan Bailey"
12460,9694,"Graham Gano"
18106,12637,"Peyton Barber"
15705,10960,"Josh Gordon"
16804,11783,"John Brown"
10636,8742,"Mason Crosby"
15966,11186,"Chris Thompson"
18839,13909,"Brett Maher"
17438,12437,"Jason Myers"
15807,11225,"Cordarrelle Patterson"
18409,13354,"Harrison Butker"
14198,10389,"Dion Lewis"
11122,8930,"Matt Prater"
8479,7877,"Frank Gore"
18454,12860,"Ka'imi Fairbairn"
15965,11387,"Dustin Hopkins"
17175,11936,"Chris Boswell"
12649,9662,"Julian Edelman"
18292,13299,"George Kittle"
18885,13898,"Greg Joseph"
12563,9427,"Michael Crabtree"
10475,8687,"Greg Olsen"
9354,8153,"Robbie Gould"
2148,5666,"Sebastian Janikowski"
15839,11239,"Marquise Goodwin"
14221,10527,"Doug Baldwin"
18599,13630,"Courtland Sutton"
13232,9925,"Jimmy Graham"
15918,11384,"Caleb Sturgis"
17173,11966,"Cody Parkey"
12537,9474,"Jared Cook"
15245,11339,"Giorgio Tavecchio"
12731,9686,"Ryan Succop"
17169,11960,"Chandler Catanzaro"
11283,9075,"DeSean Jackson"
18079,12912,"Jalen Richard"
18630,13617,"Royce Freeman"
13216,9884,"Demaryius Thomas"
17171,11947,"Brandon McManus"
16799,11678,"Allen Robinson"
11270,9118,"Jordy Nelson"
18726,13718,"Daniel Carlson"
18458,13404,"Austin Ekeler"
18762,13816,"Trenton Cannon"
17177,11975,"Taylor Gabriel"
