Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
48,"Williams, Maxx",BAL,TE,43.9,13.7,26.3,225.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,0.0,0.0,0.0,8.5,0.0,12.9,28.6
49,"Green, Virgil",DEN,TE,28.4,8.8,19.6,237.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.2,7.9,28.3
50,"Fasano, Anthony",TEN,TE,33.6,10.9,20.2,212.3,0.9,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10.9,26.9
51,"Kroft, Tyler",CIN,TE,23.0,2.6,14.8,172.2,1.5,0.3,0.2,0.9,0.0,0.0,0.0,0.7,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8,26.3
52,"Lewis, Marcedes",JAC,TE,34.5,15.2,16.1,227.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,15.2,25.7
53,"Hill, Josh",NOR,TE,30.6,12.6,15.8,122.7,2.1,1.2,1.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,12.3,25.1
54,"Gresham, Jermaine",ARZ,TE,25.5,12.1,14.5,186.3,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.5,24.9
55,"Henry, Hunter",SDC,TE,30.2,6.3,18.9,168.2,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.0,1.0,0.0,0.0,2.1,0.0,6.7,22.0
56,"Dickson, Ed",CAR,TE,22.0,6.3,13.5,141.4,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.7,0.0,7.1,21.9
57,"Hoomanawanui, Michael",NOR,TE,15.2,10.7,8.1,65.1,2.8,1.8,1.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,18.0,0.8,11.5,21.7
58,"Ellison, Rhett",MIN,TE,26.8,10.8,18.5,207.9,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,0.0,0.0,0.0,3.0,0.0,10.8,21.5
59,"Pettigrew, Brandon",DET,TE,23.2,6.4,12.1,125.1,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.4,21.4
60,"Carrier, Derek",WAS,TE,28.2,8.8,19.9,178.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,8.4,0.2,7.2,20.0
61,"Bell, Blake",SFO,TE,27.4,8.9,14.7,181.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.5,18.1
62,"O'Shaughnessy, James",KCC,TE,17.6,6.5,13.0,148.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.7,14.9
63,"Fiedorowicz, C.J.",HOU,TE,20.4,5.9,12.5,111.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,5.8,14.7
64,"Fells, Daniel",NYG,TE,13.7,5.5,10.3,106.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,12.7
65,"James, Jesse",PIT,TE,15.2,3.5,10.1,79.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,12.2
66,"Smith, Lee",OAK,TE,13.4,6.1,11.9,80.1,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,5.2,0.0,6.1,12.0
67,"Housler, Robert",CHI,TE,23.7,6.0,12.3,119.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.7,0.0,0.0,0.0,0.0,6.7,12.0
68,"Hanna, James",DAL,TE,18.7,4.9,11.7,122.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,4.9,11.8
69,"Harris, Demetrius",KCC,TE,12.0,2.9,7.0,71.5,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,11.3
70,"Harbor, Clay",NEP,TE,11.9,3.2,7.7,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.2,0.0,3.2,9.6
71,"Escobar, Gavin",DAL,TE,11.4,8.5,5.6,59.4,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8.5,9.0
72,"Perillo, Justin",GBP,TE,10.7,4.4,7.9,69.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,8.7
73,"Gragg, Chris",BUF,TE,13.9,5.4,6.3,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8.4
74,"Paul, Niles",WAS,TE,13.6,2.3,8.7,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,29.6,0.0,2.3,7.5
75,"Sudfeld, Zach",NYJ,TE,7.1,1.8,4.2,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,6.8,0.0,1.8,7.5
76,"Bibbs, E.J.",CLE,TE,13.6,3.0,6.8,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
77,"Niklas, Troy",ARZ,TE,4.5,1.5,3.0,33.3,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.8
78,"Stoneburner, Jake",RAM,TE,2.5,0.9,1.7,15.2,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.6
79,"Dray, Jim",BUF,TE,14.6,2.6,5.5,65.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.6
80,"Cunningham, Jerome",TEN,TE,15.3,7.3,8.1,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,6.1
81,"Jacobs, Nic",JAC,TE,10.9,4.0,5.0,58.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.9
82,"Phillips, John",DEN,TE,7.1,2.7,3.5,28.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.7,5.7
83,"Davis, Kellen",NYJ,TE,13.6,4.2,5.0,36.5,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,22.8,0.0,3.5,5.5
84,"Stocker, Luke",TBB,TE,14.5,4.4,8.3,47.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.5
85,"Hooper, Austin",ATL,TE,7.8,0.8,5.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.2
