espn_id,name,team,position,points
18165,Aldrick Rosas,NYG,K,115.3
18619,James Washington,PIT,WR,115.0
15091,Randy Bullock,CIN,K,115.0
18572,Josh Rosen,ARI,QB,114.1
15918,Caleb Sturgis,LAC,K,113.9
17171,Brandon McManus,DEN,K,113.9
18431,Ricky Seals-Jones,ARI,TE,113.6
60021,Eagles,PHI,D,113.3
8544,Darren Sproles,PHI,RB,111.9
1440,Phil Dawson,ARI,K,111.8
16804,John Brown,BAL,WR,110.4
18787,Jason Sanders,MIA,K,108.6
60014,Rams,LAR,D,108.3
16040,C.J. Anderson,CAR,RB,108.1
17172,Cairo Santos,NYJ,K,108.0
60017,Patriots,NE,D,108.0
11674,Danny Amendola,MIA,WR,107.9
60033,Ravens,BAL,D,107.8
14909,Kendall Wright,MIN,WR,107.4
18235,Mike Williams,LAC,WR,107.3
60034,Texans,HOU,D,106.6
9705,Brandon Marshall,SEA,WR,106.4
15062,Travis Benjamin,LAC,WR,106.3
60016,Vikings,MIN,D,106.2
14851,Terrelle Pryor Sr.,NYJ,WR,104.9
60024,Chargers,LAC,D,104.6
15920,Latavius Murray,MIN,RB,104.5
60007,Broncos,DEN,D,104.2
18601,Mike Gesicki,MIA,TE,104.1
18302,Dede Westbrook,JAX,WR,103.6
17756,Adam Humphries,TB,WR,102.6
18395,John Ross,CIN,WR,102.6
60010,Titans,TEN,D,101.8
16791,Donte Moncrief,JAX,WR,101.6
18424,Matt Breida,SF,RB,101.5
60022,Cardinals,ARI,D,101.5
15887,Ryan Griffin,HOU,TE,101.4
18458,Austin Ekeler,LAC,RB,99.1
15428,Jermaine Kearse,NYJ,WR,98.7
60029,Panthers,CAR,D,98.0
15349,Cole Beasley,DAL,WR,97.5
18314,Aaron Jones,GB,RB,97.2
17678,T.J. Yeldon,JAX,RB,96.5
18322,O.J. Howard,TB,TE,96.1
18296,Trent Taylor,SF,WR,95.9
17514,J.J. Nelson,ARI,WR,95.3
18640,Michael Gallup,DAL,WR,95.1
18313,Elijah McGuire,NYJ,RB,94.6
17177,Taylor Gabriel,CHI,WR,92.3
17616,Javorius Allen,BAL,RB,92.2
60008,Lions,DET,D,92.1
8479,Frank Gore,MIA,RB,91.9
60023,Steelers,PIT,D,91.7
60028,Redskins,WSH,D,91.1
18583,Hayden Hurst,BAL,TE,90.2
18224,Taywan Taylor,TEN,WR,88.7
60003,Bears,CHI,D,88.6
18272,Chris Godwin,TB,WR,88.4
18284,Curtis Samuel,CAR,WR,87.5
60006,Cowboys,DAL,D,87.1
60002,Bills,BUF,D,87.0
13213,LeGarrette Blount,DET,RB,86.5
60015,Dolphins,MIA,D,86.5
60018,Saints,NO,D,86.0
60009,Packers,GB,D,85.0
60027,Buccaneers,TB,D,84.2
18728,Jordan Wilkins,IND,RB,84.0
16777,Carlos Hyde,CLE,RB,83.8
60001,Falcons,ATL,D,83.4
18374,Gerald Everett,LAR,TE,83.3
18089,Chester Rogers,IND,WR,82.7
16002,Kyle Juszczyk,SF,RB,82.5
14085,Virgil Green,LAC,TE,82.2
18663,Nyheim Hines,IND,RB,81.9
18566,Sam Darnold,NYJ,QB,81.3
60012,Chiefs,KC,D,81.3
60013,Raiders,OAK,D,81.3
16121,Luke Willson,DET,TE,81.0
14885,Doug Martin,OAK,RB,80.2
60026,Seahawks,SEA,D,80.1
18425,Corey Clement,PHI,RB,78.2
60005,Browns,CLE,D,78.0
18242,Jake Butt,DEN,TE,77.6
60004,Bengals,CIN,D,77.6
18110,Geronimo Allison,GB,WR,76.2
18295,Carlos Henderson,DEN,WR,76.1
17973,Rico Gathers,DAL,TE,76.1
13587,Chris Ivory,BUF,RB,75.8
16749,Charles Sims,TB,RB,75.8
14151,Jeremy Kerley,BUF,WR,72.8
60019,Giants,NYG,D,71.8
18570,Josh Allen,BUF,QB,71.6
17873,Nick Vannett,SEA,TE,71.6
60011,Colts,IND,D,70.1
17864,Braxton Miller,HOU,WR,69.9
15786,Tavon Austin,DAL,RB,69.7
60020,Jets,NYJ,D,68.7
9592,Vernon Davis,WSH,TE,68.6
60025,49ers,SF,D,67.1
18620,D.J. Chark,JAX,WR,65.8
11247,Jonathan Stewart,NYG,RB,65.4
18645,Mark Andrews,BAL,TE,63.5
18341,Chris Carson,SEA,RB,63.3
18047,Roger Lewis,NYG,WR,62.4
18565,Baker Mayfield,CLE,QB,62.2
17805,Corey Coleman,CLE,WR,61.0
18081,Braedon Bowman,LAC,TE,59.5
18106,Peyton Barber,TB,RB,59.5
13272,Ed Dickson,SEA,TE,59.5
18276,Adam Shaheen,CHI,TE,59.4
18227,Michael Roberts,DET,TE,59.2
17915,DeAndre Washington,OAK,RB,57.6
18201,Amara Darboh,SEA,WR,57.2
13228,Jermaine Gresham,ARI,TE,57.0
18735,John Kelly,LAR,RB,56.1
