Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
55,"Gillislee, Mike",BUF,RB,96.1,437.9,4.2,0.8,1.5,0.3,0.3,0.0,1.3,1.8,0.9,0.3,0.1,13.6,89.5,0.8,0.4,0.2,0.0,42.6,1.3,33.8,80.1
56,"Ware, Spencer",KCC,RB,77.3,398.4,6.2,5.5,0.7,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,7.2,21.8,0.0,0.1,0.0,49.2,214.8,0.0,29.5,79.1
57,"Smallwood, Wendell",PHI,RB,138.9,525.1,1.6,1.6,0.0,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,32.4,176.5,0.0,0.7,0.4,116.3,272.8,0.7,54.9,78.7
58,"White, James",NEP,RB,28.4,69.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,38.2,387.5,3.3,1.6,0.8,0.0,0.0,0.0,19.1,77.5
59,"Dixon, Kenneth",BAL,RB,75.0,365.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,215.0,1.0,0.0,0.0,0.0,341.2,0.0,0.0,76.0
60,"West, Terrance",BAL,RB,87.0,358.3,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,10.7,89.5,0.3,0.4,0.2,0.0,7.0,0.5,25.1,75.8
61,"Washington, DeAndre",OAK,RB,81.5,324.9,0.8,0.0,0.8,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,39.0,319.0,1.2,1.3,0.6,0.0,23.6,0.4,38.3,75.5
62,"Thompson, Chris",WAS,RB,70.5,316.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,38.2,324.4,1.0,1.3,0.6,0.0,22.2,0.0,38.5,70.1
63,"Hillman, Ronnie",DEN,RB,120.0,450.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,16.6,84.5,0.0,0.3,0.2,0.0,0.0,0.7,47.2,70.0
64,"Draughn, Shaun",SFO,RB,115.5,374.1,1.0,0.7,0.3,0.0,0.0,0.0,0.0,1.5,0.7,0.2,0.1,34.4,211.8,0.3,0.8,0.4,0.0,73.3,0.3,36.5,65.2
65,"Artis-Payne, Cameron",CAR,RB,83.8,333.2,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,15.7,138.8,1.4,0.6,0.3,0.0,48.0,0.2,26.8,64.2
66,"McFadden, Darren",DAL,RB,90.3,415.4,1.3,1.3,0.0,0.0,0.1,0.0,0.0,4.5,1.2,0.3,0.1,15.3,118.0,0.0,0.5,0.2,0.0,14.3,1.2,32.2,59.0
67,"Andrews, Antonio",TEN,RB,100.5,354.5,2.2,2.2,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,16.1,131.7,0.0,0.5,0.3,4.0,55.4,1.5,43.9,58.7
68,"Perkins, Paul",NYG,RB,85.8,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,7.5,61.5,0.0,0.2,0.1,0.0,26.4,0.0,31.7,57.7
69,"Zenner, Zach",DET,RB,92.7,335.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,21.2,153.3,1.1,0.6,0.3,0.0,467.3,0.0,33.1,57.5
70,"Morris, Alfred",DAL,RB,124.0,467.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,5.3,39.4,0.0,0.2,0.1,0.0,7.9,0.0,37.5,56.9
71,"Ferguson, Josh",IND,RB,45.8,275.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25.0,175.0,1.0,0.0,0.0,0.0,66.1,0.0,3.9,56.9
72,"Carey, Ka'Deem",CHI,RB,68.7,244.9,3.2,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,9.5,84.4,1.2,0.3,0.2,0.0,72.5,1.5,37.4,56.1
73,"Grimes, Jonathan",HOU,RB,66.2,303.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,20.5,147.8,0.6,0.6,0.3,0.0,0.0,0.0,28.5,52.7
74,"Ellington, Andre",ARZ,RB,47.0,213.5,2.6,1.7,0.0,0.0,0.0,0.2,0.7,0.9,0.4,0.1,0.1,12.9,132.9,0.6,0.5,0.3,0.0,145.9,0.8,11.8,52.1
75,"Harris, DuJuan",SFO,RB,65.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,20.9,204.4,0.0,0.8,0.4,27.7,9.8,0.4,9.2,51.7
76,"Blue, Alfred",HOU,RB,104.8,365.3,0.9,0.8,0.0,0.1,0.0,0.0,0.0,1.5,0.7,0.2,0.1,10.2,69.4,0.2,0.3,0.1,0.0,0.0,0.4,30.3,49.7
77,"Tolbert, Mike",CAR,RB,59.5,218.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,12.6,131.3,2.3,0.5,0.3,0.0,8.2,1.1,23.9,47.6
78,"Cunningham, Benny",RAM,RB,53.8,206.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,33.4,261.3,0.0,1.0,0.5,0.0,551.4,1.8,23.2,44.4
79,"Bolden, Brandon",NEP,RB,64.0,223.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,17.9,139.3,1.3,0.6,0.3,0.0,0.0,0.0,11.5,44.0
80,"Spiller, C.J.",NOR,RB,48.5,149.1,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,30.4,164.4,0.7,0.7,0.3,0.0,88.7,0.0,25.3,43.3
81,"McCluster, Dexter",TEN,RB,44.5,161.3,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.3,0.1,0.0,26.1,201.6,1.2,0.8,0.4,197.9,147.1,1.5,21.9,43.1
