Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
180,"Alford, Mario",CIN,WR,4.5,1.2,0.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,93.0,279.0,0.0,1.2,1.1
181,"Moore, Chris",BAL,WR,17.1,4.0,1.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,158.8,0.0,2.9,1.0
182,"Sterlin, Neal",JAC,WR,4.5,2.9,1.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,20.4,0.0,0.0,3.0,0.9
183,"Harris, Marcus",NYG,WR,11.2,7.6,1.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,44.2,0.0,6.1,0.7
184,"Davis, Geremy",NYG,WR,1.6,0.0,0.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
185,"Weems, Eric",ATL,WR,0.4,0.0,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,169.1,292.0,0.0,0.0,0.4
186,"Hammond, Frankie",KCC,WR,2.3,2.1,1.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.9,0.0,0.0,1.0,0.3
187,"Robinson, Demarcus",KCC,WR,3.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,118.0,13.8,0.1,0.7,0.0
188,"Anderson, Dres",SFO,WR,4.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1,97.0,0.1,1.4,-0.1
189,"Mayle, Vince",DAL,WR,7.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,31.1,62.1,0.0,2.8,-0.2
190,"Boyce, Josh",FA,WR,3.8,1.1,1.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,168.8,0.6,0.5,-0.7
191,"Rogers, Eli",PIT,WR,5.7,2.2,1.7,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,2.2,-0.8

